2025-09-17 20:37:47.551 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-09-17', 'createDate': '2025-08-18', 'anchorUid': 13450078, 'playCount': 3211029, 'albumTitle': '饥荒年，开局一碗稀饭整顿大明 | 精品多人有声剧 | 历史爽文', 'anchorName': '却星辰', 'fansCount': 134382, 'commentCount': 0, 'trackCount': 380, 'albumId': 102483048}
2025-09-17 20:37:49.044 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 102483048 章节稍后补爬
2025-09-17 20:37:54.171 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2024-12-30', 'createDate': '2015-08-28', 'anchorUid': 25256063, 'playCount': 1170216403, 'albumTitle': '唐砖 | 尖儿播讲 | 唐人的餐桌同作者孑与2 | 同名电视剧原著 | 古装轻喜剧 | 多人有声剧', 'anchorName': '尖儿的有声小说', 'fansCount': 2386893, 'commentCount': 0, 'trackCount': 923, 'albumId': 2910554}
2025-09-17 20:37:55.670 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 2910554 章节稍后补爬
2025-09-17 20:38:00.759 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2024-12-30', 'createDate': '2024-03-05', 'anchorUid': 1266964, 'playCount': 233613870, 'albumTitle': '大明：家父永乐，永镇山河｜爆笑历史 | 有声的紫襟团队｜多人有声剧', 'anchorName': '有声的紫襟', 'fansCount': 27678499, 'commentCount': 0, 'trackCount': 907, 'albumId': 80767032}
2025-09-17 20:38:02.238 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 80767032 章节稍后补爬
2025-09-17 20:38:07.302 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-02-27', 'createDate': '2021-04-29', 'anchorUid': 40600166, 'playCount': 110312479, 'albumTitle': '狼群|刺血著|小曾、王明军演播', 'anchorName': '王明军', 'fansCount': 1108112, 'commentCount': 0, 'trackCount': 318, 'albumId': 49097600}
2025-09-17 20:38:08.784 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 49097600 章节稍后补爬
2025-09-17 20:38:13.871 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-09-17', 'createDate': '2025-02-28', 'anchorUid': 2342717, 'playCount': 40973805, 'albumTitle': '那年那蝉那把剑丨古风仙侠&江湖权谋&大斌不想工作室多人有声剧', 'anchorName': '大斌', 'fansCount': 9964914, 'commentCount': 0, 'trackCount': 1556, 'albumId': 87000610}
2025-09-17 20:38:15.345 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 87000610 章节稍后补爬
2025-09-17 20:38:20.452 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-09-16', 'createDate': '2024-09-02', 'anchorUid': 44332883, 'playCount': 138379958, 'albumTitle': '带着网咖回1950 | 万历大帝 带着技术抗美援朝', 'anchorName': '万历大帝', 'fansCount': 843682, 'commentCount': 0, 'trackCount': 2237, 'albumId': 83379214}
2025-09-17 20:38:22.031 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 83379214 章节稍后补爬
2025-09-17 20:38:27.121 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-02-08', 'createDate': '2021-08-20', 'anchorUid': 35310389, 'playCount': 432595810, 'albumTitle': '小阁老丨穿越逆袭&权谋争霸丨精品多人有声剧', 'anchorName': '伍壹先生', 'fansCount': 2306274, 'commentCount': 0, 'trackCount': 2233, 'albumId': 52327568}
2025-09-17 20:38:28.583 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 52327568 章节稍后补爬
2025-09-17 20:38:33.643 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2024-12-30', 'createDate': '2017-09-14', 'anchorUid': 4742669, 'playCount': 339181058, 'albumTitle': '佣兵的战争 | 战争幻想 | 军事精品 | 单播', 'anchorName': '昊翔讲故事', 'fansCount': 1864483, 'commentCount': 0, 'trackCount': 1334, 'albumId': 10578860}
2025-09-17 20:38:35.091 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 10578860 章节稍后补爬
2025-09-17 20:38:40.086 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-09-17', 'createDate': '2023-11-06', 'anchorUid': 2342717, 'playCount': 287487183, 'albumTitle': '全军列阵 | 群像权谋 | 剧情反转之王VIP免费|知白', 'anchorName': '大斌', 'fansCount': 9964914, 'commentCount': 0, 'trackCount': 2251, 'albumId': 79012790}
2025-09-17 20:38:41.546 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 79012790 章节稍后补爬
2025-09-17 20:38:46.583 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-09-16', 'createDate': '2023-02-28', 'anchorUid': 44332883, 'playCount': 134013307, 'albumTitle': '谍影凌云 | 万历大帝', 'anchorName': '万历大帝', 'fansCount': 843682, 'commentCount': 0, 'trackCount': 4119, 'albumId': 74639950}
2025-09-17 20:38:48.077 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 74639950 章节稍后补爬
2025-09-17 20:38:53.111 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-02-25', 'createDate': '2022-11-09', 'anchorUid': 40084802, 'playCount': 545568804, 'albumTitle': '寒门枭士|败家子金锋&天命王侯|安燃VIP免费有声小说', 'anchorName': '安燃', 'fansCount': 3140509, 'commentCount': 0, 'trackCount': 2150, 'albumId': 72342875}
2025-09-17 20:38:54.569 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 72342875 章节稍后补爬
2025-09-17 20:38:59.533 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-08-30', 'createDate': '2023-06-19', 'anchorUid': 407193654, 'playCount': 119734002, 'albumTitle': '一品江山丨搞笑穿越历史丨三戒大师&伍壹剧社多人剧', 'anchorName': '伍壹剧社', 'fansCount': 1871734, 'commentCount': 0, 'trackCount': 853, 'albumId': 76585153}
2025-09-17 20:39:01.028 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 76585153 章节稍后补爬
