2025-12-04 13:28:39.178 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:28:39.178 | INFO     | __main__:main:197 - --- 开始处理 42/3228: 民生证券投资有限公司 ---
2025-12-04 13:28:41.909 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>] 成功找到人名法人：任凯锋
2025-12-04 13:28:41.910 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:28:41.910 | INFO     | __main__:main:197 - --- 开始处理 43/3228: 巢湖旗山中智创业投资管理有限公司 ---
2025-12-04 13:28:45.052 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>] 成功找到人名法人：肖国庆
2025-12-04 13:28:45.054 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:28:45.054 | INFO     | __main__:main:197 - --- 开始处理 44/3228: 中国中金财富证券有限公司 ---
2025-12-04 13:28:47.646 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>] 成功找到人名法人：王建力
2025-12-04 13:28:47.647 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:28:47.647 | INFO     | __main__:main:197 - --- 开始处理 45/3228: 宁波镇海金塑股权投资管理合伙企业(有限合伙) ---
2025-12-04 13:28:50.122 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>] 成功找到人名法人：王熊
2025-12-04 13:28:50.123 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:28:50.124 | INFO     | __main__:main:197 - --- 开始处理 46/3228: 宁波镇海金模股权投资管理合伙企业(有限合伙) ---
2025-12-04 13:28:53.466 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>] 成功找到人名法人：王熊
2025-12-04 13:28:53.467 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:28:53.468 | INFO     | __main__:main:197 - --- 开始处理 47/3228: 南京腾亚实业集团有限公司 ---
2025-12-04 13:28:55.839 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>] 成功找到人名法人：孙德斌
2025-12-04 13:28:55.840 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:28:55.840 | INFO     | __main__:main:197 - --- 开始处理 48/3228: 南京运航创业投资中心(有限合伙) ---
2025-12-04 13:28:59.349 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>] 成功找到人名法人：乐清勇
2025-12-04 13:28:59.350 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:28:59.350 | INFO     | __main__:main:197 - --- 开始处理 49/3228: 南京倚峰企业管理有限公司 ---
2025-12-04 13:29:01.042 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>] 成功找到人名法人：马姝芳
2025-12-04 13:29:01.043 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:29:01.043 | INFO     | __main__:main:197 - --- 开始处理 50/3228: 清控创业投资有限公司 ---
2025-12-04 13:29:03.664 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>] 成功找到人名法人：郑成武
2025-12-04 13:29:03.665 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:29:03.665 | INFO     | __main__:main:197 - --- 开始处理 51/3228: 天通高新集团有限公司 ---
2025-12-04 13:29:06.315 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>] 成功找到人名法人：杜海利
2025-12-04 13:29:06.316 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:29:06.317 | INFO     | __main__:main:197 - --- 开始处理 52/3228: 上海沁德通企业管理服务中心(有限合伙) ---
2025-12-04 13:29:08.682 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>] 成功找到人名法人：赵耀
2025-12-04 13:29:08.683 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:29:08.683 | INFO     | __main__:main:197 - --- 开始处理 53/3228: 上海崇泽慧宇企业管理服务中心(有限合伙) ---
2025-12-04 13:29:11.778 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>] 成功找到人名法人：刘学良
2025-12-04 13:29:11.779 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:29:11.780 | INFO     | __main__:main:197 - --- 开始处理 54/3228: 成都中科唯实仪器有限责任公司 ---
2025-12-04 13:29:14.048 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>] 成功找到人名法人：张海军
2025-12-04 13:29:14.049 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:29:14.049 | INFO     | __main__:main:197 - --- 开始处理 55/3228: 中国科学院沈阳科学仪器股份有限公司 ---
2025-12-04 13:29:16.803 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>] 成功找到人名法人：郭东民
2025-12-04 13:29:16.804 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:29:16.805 | INFO     | __main__:main:197 - --- 开始处理 56/3228: 桂林旅游投资集团有限公司 ---
2025-12-04 13:29:20.628 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>] 成功找到人名法人：宁志
2025-12-04 13:29:20.629 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:29:20.629 | INFO     | __main__:main:197 - --- 开始处理 57/3228: 中国软件与技术服务股份有限公司 ---
2025-12-04 13:29:24.312 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>] 成功找到人名法人：谌志华
2025-12-04 13:29:24.313 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:29:24.314 | INFO     | __main__:main:197 - --- 开始处理 58/3228: 中电(天津)企业管理中心(有限合伙) ---
2025-12-04 13:29:26.923 | INFO     | __main__:query_legal_person_with_path:143 - [>>>] 找到法人（仍是公司）：中电智慧基金管理有限公司 (长度: 12)
2025-12-04 13:29:28.667 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>>>>] 成功找到人名法人：刘振龙
2025-12-04 13:29:28.668 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:29:28.668 | INFO     | __main__:main:197 - --- 开始处理 59/3228: 海南鑫润一期私募基金合伙企业(有限合伙) ---
2025-12-04 13:29:31.810 | INFO     | __main__:query_legal_person_with_path:143 - [>>>] 找到法人（仍是公司）：中电鑫泽（北京）投资管理有限责任公司 (长度: 18)
2025-12-04 13:29:34.175 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>>>>] 成功找到人名法人：石明磊
2025-12-04 13:29:34.177 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:29:34.177 | INFO     | __main__:main:197 - --- 开始处理 60/3228: 宁波梅山保税港区丰年君和股权投资合伙企业(有限合伙) ---
2025-12-04 13:29:36.328 | INFO     | __main__:query_legal_person_with_path:143 - [>>>] 找到法人（仍是公司）：宁波丰年通达投资管理有限公司 (长度: 14)
