公司,路径1,路径2,路径3,最终实际控制人
"HCHP Holdco A,Ltd.","HCHP Holdco A,Ltd.",,,"HCHP Holdco A,Ltd."
方正证券投资有限公司,方正证券投资有限公司,,,崔肖
后浪(天津)企业管理中心(有限合伙),后浪(天津)企业管理中心(有限合伙),,,白春后
海南华益创业投资合伙企业(有限合伙),海南华益创业投资合伙企业(有限合伙),,,张茜
深圳睿和恒投资咨询中心(有限合伙),深圳睿和恒投资咨询中心(有限合伙),深圳高瓴天成三期投资有限公司,,马翠芳
苏州君联相道股权投资合伙企业(有限合伙),苏州君联相道股权投资合伙企业(有限合伙),拉萨君祺企业管理有限公司,,欧阳浩
珠海君联嘉茂股权投资企业(有限合伙),珠海君联嘉茂股权投资企业(有限合伙),拉萨君祺企业管理有限公司,,欧阳浩
国金证券资管-兴业银行-国金资管永臻科技员工参与主板战略配售集合资产管理计划,国金证券资管-兴业银行-国金资管永臻科技员工参与主板战略配售集合资产管理计划,,,汪献利
天合智慧能源投资发展(江苏)有限公司,天合智慧能源投资发展(江苏)有限公司,,,朱文瑾
珠海市联合正信资产管理有限公司-珠海市联合正信九号股权投资基金合伙企业(有限合伙),珠海市联合正信资产管理有限公司-珠海市联合正信九号股权投资基金合伙企业(有限合伙),,,汪献利
珠海市联合正信资产管理有限公司-珠海正信特新一号股权投资基金合伙企业(有限合伙),珠海市联合正信资产管理有限公司-珠海正信特新一号股权投资基金合伙企业(有限合伙),,,汪献利
常州市金坛区永信实业投资合伙企业(有限合伙),常州市金坛区永信实业投资合伙企业(有限合伙),,,刘烈胜
上海泓成创业投资合伙企业(有限合伙),上海泓成创业投资合伙企业(有限合伙),上海纳米创业投资有限公司,,刘明
上海祥禾涌原股权投资合伙企业(有限合伙),上海祥禾涌原股权投资合伙企业(有限合伙),上海涌共投资合伙企业（有限合伙）,上海涌铧投资管理有限公司,高冬
常州金沙科技投资有限公司,常州金沙科技投资有限公司,,,胡婧
中泰创业投资(上海)有限公司,中泰创业投资(上海)有限公司,,,姜颖
中信金石投资有限公司-金石制造业转型升级新材料基金(有限合伙),中信金石投资有限公司-金石制造业转型升级新材料基金(有限合伙),,,吴江伟
晶澳太阳能科技股份有限公司,晶澳太阳能科技股份有限公司,,,靳保芳
苏州阿特斯投资管理有限公司,苏州阿特斯投资管理有限公司,,,许津驰
常州市金坛区永实实业投资合伙企业(有限合伙),常州市金坛区永实实业投资合伙企业(有限合伙),,,高文林
常州市金坛区红石实业投资合伙企业(有限合伙),常州市金坛区红石实业投资合伙企业(有限合伙),,,周边红
